stamp,label,container,unique_fps,active,eff_lines,eff_cols,cut_v,cut_h,sharpness,comb,luma
20260724-112146,baseline: T3i LV -> CamLink direct,1920x1080@60,0.0,1920x980,248,323,0.253,0.168,250,1.50,0-254
20260724-112336,baseline: T3i menu screen (camera not in LV yet),1920x1080@60,0.0,1920x980,248,323,0.253,0.168,250,1.50,0-254
20260724-112725,LV direct into CamLink (desk test),1920x1080@60,0.0,1730x757,112,112,0.148,0.065,14,1.50,0-255
20260724-114109,splitter inline (avedio 1x2),1920x1080@60,0.0,1730x757,91,131,0.120,0.076,8,1.50,0-255
20260724-114308,splitter inline - menu screen,1920x1080@60,0.0,1920x980,282,304,0.288,0.158,243,1.50,0-254
20260727-194402,forced 1080i into CamLink,1920x1080@60,19.5,1633x928,75,131,0.080,0.080,17,1.50,0-255
20260727-195414,forced 1080i - menu screen,1920x1080@60,0.0,1441x871,250,544,0.287,0.378,917,1.50,0-255
20260727-195757,forced 1080i - live view scene,1920x1080@60,17.5,1633x928,120,253,0.127,0.155,105,1.50,0-255
20260727-194402,forced 1080i into CamLink,1920x1080@60,19.5,1633x928,75,131,0.080,0.080,17,1.50,0-255
20260727-195414,forced 1080i - menu screen,1920x1080@60,0.0,1441x871,250,544,0.287,0.378,917,1.50,0-255
20260727-195757,forced 1080i - live view scene,1920x1080@60,17.5,1633x928,120,253,0.127,0.155,105,1.50,0-255
20260727-204005,forced-1080i on Mac mini ceiling rig,1920x1080@60,19.5,1621x1080,195,365,0.180,0.225,62,1.50,0-255
20260728-200643,dispute check - camera menu says 1080i,1920x1080@60,27.5,1730x757,189,216,0.250,0.125,31,1.50,0-255
20260728-201059,after ML toggle re-arm,1920x1080@60,0.0,1920x1080,400,867,0.370,0.451,193,1.50,8-252
20260728-203637,after camera power cycle (no toggle),1920x1080@60,19.5,1710x875,171,170,0.195,0.100,25,1.50,0-255
20260728-215813,after CamLink USB replug,1920x1080@60,19.5,1730x757,109,59,0.144,0.034,21,1.50,0-253
20260728-223159,PC1 step0 baseline pre-cycle,1920x1080@60,0.0,1920x1080,395,861,0.365,0.449,184,1.50,16-244
20260728-223511,"PC1 step1 fresh power-on, LV up",1920x1080@60,18.5,1633x928,85,133,0.092,0.082,7,1.50,0-229
20260728-224321,PC1 step1a switch cycle 2,1920x1080@60,2.0,1633x946,829,1294,0.882,0.792,3,1.50,0-108
20260728-224515,PC1 step1b HARD power cut + reboot,1920x1080@60,0.0,1111x342,106,197,0.310,0.177,116,1.50,0-254
20260728-224701,PC1 step1b2 fresh battery boot,1920x1080@60,0.0,2x2,0,0,0.000,0.000,2,nan,0-14
20260728-224830,"PC1 step1b3 after battery swap, retry",1920x1080@60,0.0,340x316,294,278,0.932,0.819,2,1.50,0-21
20260728-225028,PC1 step1c menu after fresh-battery boot,1920x1080@60,0.0,1920x980,245,323,0.250,0.168,247,1.50,0-254
20260728-231113,"PC2 after ignore-crashes ON, pre-cut",1920x1080@60,0.0,1603x1072,333,656,0.310,0.409,521,1.50,0-255
20260728-231210,PC2 AFTER HARD CUT (ignore-crashes ON),1920x1080@60,18.5,1633x928,101,168,0.109,0.103,26,1.50,0-255
20260728-231437,USB test A: HDMI only (baseline),1920x1080@60,17.5,1633x928,93,133,0.101,0.082,20,1.50,0-255
20260729-165752,post crash-guard fix (Mac ceiling rig),1920x1080@60,21.0,1633x928,141,184,0.152,0.113,24,1.50,0-255
20260729-170017,verdict rule check (healthy HD must NOT flag),1920x1080@60,21.5,1633x928,235,344,0.253,0.211,40,1.50,0-255
20260802-123451,post-fix check 2026-08-02,1920x1080@60,25.0,1633x928,352,147,0.379,0.090,35,1.50,0-252
